,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,Indicadora
21,Bosnia and Herzegovina,8,3,14.8,6,491026000,63.71,79,35,94.8,92,98.9,99.9,100,99.7,55545000,0,13.5,0.014623595,6800,4,11,70,5.1,4.6,5.6,4,5.4,4.8,5.9,159,4,124,169,2.6,67.7778,63.3334,1,71762000,98850000,14739000,22582000,1791000,29883000,10138000,1855000,196965000,309925000,36980000,268727000,408775000,51719000,0,72113000,180000,52465000,82251000,3826000,321192000,0,9.9,15,7,7.2,21.42857143,38,70,12,7,45,179,595,125,24,67,420,3.3,23.3,Bien
22,Botswana,13,7,0.7,6,28183000,64.98,72,2,63.4,43.1,78.5,96.2,92.3,99.2,8548000,0,0,0.374878929,270,8,129,30,34.8,31.5,37.9,21.9,43.6,39.8,47.2,2007,72,1268,2488,3.6,45.55553333,66.6666,2,11807000,1044000,1422000,0,0,0,0,0,111328000,13553000,7126000,123135000,14597000,8548000,0,0,0,0,0,0,132015000,8880000,51.1,19,4,21.5,9.523809524,0,40,9,5,34,110,625,77,12,48,152,1.7,25.1,Bien
23,Brazil,165,5,3.8,7,12320913000,57.67,116,85,82.8,51.5,88,98.1,87,100,5668100000,18253000,15.80086321,0.080088381,1200,82,44,70,14.6,13.3,15.8,8.9,16.4,14.9,17.7,46995,1300,28604,52415,8.70189086,65.55556667,66.6667,516,2431445000,1646213000,85643000,2614520000,3342601000,8090208000,8243475000,1809984000,1505289000,1766658000,249950000,3936734000,3412871000,335593000,25216000,1378000,161669000,10729944000,8897723000,5314254000,14850462000,183784000,79,18.2,13.6,15.82828818,9.941520468,55.1,60,11,2,9.6,425.7,731,43.6,31.7,83,2600,4,69.2,Bien
24,Brunei Darussalam,24,4,1.2,6,13645323662,62.93,84,8,72.29814518,65.98358183,78.69736462,88.766717,83.81799192,94.88066195,2367048074,382061313,7.9,0.04339517,2300,34,23,56.89806865,8.6,7.8,9.4,4.3,10.2,9.3,11.1,66,2,33,77,0,66.21412289,78.47684491,104,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,0,14,7,0.8,20.54715995,61.2,63.26745511,7,4,18,119,540,56,298,14,89,2.5,8.7,Bien
25,Bulgaria,18,10,0.7,5,239797000,73.72,38,22,86,83.7,86.8,99.4,99,99.6,176752000,160000,20.2,0.016181967,6200,7,11,90,9.3,8.3,10.3,5.6,10.4,9.3,11.5,557,7,335,634,1.8,84.44443333,83.3333,6,41923000,8329000,7410000,0,117613000,0,0,98000,212016000,33880000,51457000,253939000,42209000,58867000,160000,0,14000,160000,0,117725000,303838000,49739000,0,16,8,5,20.41666667,64.7,80,4,9,14,110,564,130,11,18,423,3.3,27,Bien
26,Burkina Faso,11,7,43.5,0,295445000,50.81,143,4,19.7,6.7,50.4,82.3,75.8,97.5,20799000,0,21.4,2.070127335,48,9,371,40,60.9,55.6,66,26.7,88.6,83.4,93.7,41810,2700,18346,60477,3.7,67.7778,93.3334,3,31078000,56674000,3640000,0,0,0,0,0,50068000,238771000,16893000,81146000,295445000,20533000,3618000,0,266000,3618000,0,266000,84764000,0,0,12,4,16.2,13.33333333,0.3,70,3,6,45,129,446,158,67,13,270,4,41.3,Mal
27,Burundi,13,8,13.4,0,2703072000,48.82,152,17,48,48.6,43.8,75.9,73.8,91.1,2783000,0,10.2,4.272948275,23,12,712,40,54.1,48,60,28.6,81.7,75.6,87.5,24956,3500,13236,36970,1.2,55.55556667,86.6667,8,1526000,40261000,604000,0,0,0,0,0,13194000,2662811000,2179000,14720000,2703072000,2783000,0,0,0,0,0,0,14720000,0,0,14,5,28.9,30.47619048,4.4,40,3,2,25,99,832,158,23,4,274,5,40.3,Mal
28,Cabo Verde,5,1,14.8,6,329756000,55.54,126,32,72.2,54.3,81.6,91.7,87.3,94,21163000,0,17.6,0.111282934,900,4,42,50,20.7,18.5,22.8,12.2,24.5,21.9,26.9,226,5,133,267,0.4,66.66666667,80,3,26692000,168475000,10625000,0,0,0,79303000,2766000,20251000,61612000,6208000,46943000,230087000,16833000,0,20366000,1564000,0,99669000,4330000,46943000,0,0,16,6,18.5,20.83333333,17.8,70,7,2,30,140,425,88,22,10,180,2.591785792,36.5,Mal
29,Cambodia,27,5,78.7,5,469572000,55.22,127,44,42.4,30.5,88.1,75.5,69.1,100,62281000,0,0.5,0.472972946,210,36,161,60,24.6,21.5,27.6,14.8,28.7,25.2,32,8759,590,5282,10257,1,76.66666667,90,36,172947000,346983000,43985000,0,0,0,0,0,47784000,122589000,18296000,220731000,469572000,62281000,0,0,0,0,0,0,220731000,0,37,20,7,19.5,20.32520325,0,80,7,11,40,652,483,179,56,87,173,6,21,Mal
30,Cameroon,26,7,32.7,1,999474000,44.11,172,119,45.8,26.8,61.8,75.6,52.7,94.8,74132000,3311000,18.3,2.888392618,35,43,596,40,57.1,51.4,62.4,25.7,87.9,81.7,93.5,46762,5100,21071,71348,0.5,55.55556667,86.6667,490,138538000,544387000,46812000,0,0,16572000,15620000,968000,63823000,439467000,14535000,202361000,983854000,61347000,40866000,0,8506000,57438000,15620000,9474000,300293000,40494000,0,15,5,30,31.11111111,6.5,40,5,6,44,150,800,64,86,15,630,2.8,48.8,Mal
